Metric,Value
accuracy,0.8225208526413346
precision,0.9386413159534337
recall,0.8968481375358166
f1,0.9160539393074287
auc,0.9841190125559467
class_precision,"[0.8168724279835391, 0.801980198019802, 0.9716024340770791, 0.9886363636363636, 0.9960861056751468]"
class_recall,"[0.8004032258064516, 0.6183206106870229, 0.8709090909090909, 0.9937694704049844, 0.9769673704414588]"
class_f1,"[0.8085539714867617, 0.6982758620689655, 0.9185043144774688, 0.9911962713619886, 0.9864341085271318]"
class_auc,"[0.9482514750980163, 0.9480283924372724, 0.9923484848484848, 0.9994186576988751, 0.9994477515515133]"
